Id,MSSubClass,LotFrontage,LotArea,Alley,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,YrBltAndRemod,TotalSF,Total_sqr_footage,Total_Bathrooms,Total_porch_sf,haspool,has2ndfloor,hasgarage,hasbsmt,hasfireplace,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,MiscFeature_Gar2,MiscFeature_None,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
0.730463147,2.885846472,5.831327893,19.21218231,0.730463147,1.540962756,0,2.440268378,1.820334104,14.18752681,14.18752681,8.059125776,1.194317638,1.820334104,1.194317638,1.820334104,1.540962756,1.194317638,11.17032679,2.259673787,0,7.483295642,11.69262259,0,0.730463147,11.69262259,11.68618938,0,13.69888798,0.730463147,0,1.194317638,0.730463147,1.540962756,0.730463147,1.194317638,2.602594469,2.259673787,0,1.540962756,14.18752681,1.194317638,1.194317638,10.50627096,2.055641538,2.055641538,1.194317638,0,5.714668903,0,0,0,0,1.820334104,0,1.820334104,1.194317638,16.47164371,14.97659057,14.78199697,1.68725922,5.714668903,0,0.730463147,0.730463147,0.730463147,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1.194317638,2.055641538,6.221213633,19.71220478,0.730463147,1.540963,0,2.259673787,2.440268378,14.14513801,14.14513801,0,1.540962756,1.820334104,1.194317638,1.820334104,0.730463147,0,12.06283165,2.259673787,0,8.897843947,12.79227623,0,0.730463147,12.79227623,0,0,12.79227623,0,0.730463147,1.194317638,0,1.540962756,0.730463147,1.540962756,2.259673787,2.259673787,0.730463147,2.055641538,14.14513801,1.194317638,1.194317638,10.06209831,2.055641538,2.055641538,1.194317638,9.010205579,0,0,0,0,0,1.820334104,0,2.440268378,0.730463147,16.42460034,14.92309998,14.54012742,1.378201796,9.010205579,0,0,0.730463147,0.730463147,0.730463147,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1.540962756,2.885846472,5.914940019,20.34724091,0.730463147,0,0,2.440268378,1.820334104,14.1844036,14.18596554,7.646538008,1.194317638,1.820334104,1.194317638,1.820334104,1.194317638,1.194317638,10.20034266,2.259673787,0,9.917059939,11.89203906,0,0.730463147,11.89203906,11.72459848,0,13.83208545,0.730463147,0,1.194317638,0.730463147,1.540962756,0.730463147,1.194317638,2.259673787,2.259673787,0.730463147,2.055641538,14.1844036,1.194317638,1.194317638,10.77553626,2.055641538,2.055641538,1.194317638,0,5.053371049,0,0,0,0,1.820334104,0,3.011340243,1.194317638,16.46904437,15.14967765,14.58527701,1.68725922,5.053371049,0,0.730463147,0.730463147,0.730463147,0.730463147,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1.820334104,3.011340243,5.684506657,19.69155268,0.730463147,0,0,2.440268378,1.820334104,14.04752864,14.1356515,0,1.540962756,1.820334104,1.820334104,0.730463147,1.540962756,0,8.274265741,2.259673787,0,10.46849991,11.35409417,1.194317638,0.730463147,12.01368302,11.35409417,0,13.71136416,0.730463147,0,0.730463147,0,1.540962756,0.730463147,1.194317638,2.440268378,2.259673787,0.730463147,1.194317638,14.17971381,1.540962756,1.540962756,10.91825293,2.055641538,2.055641538,1.194317638,0,4.745132396,8.797735592,0,0,0,1.820334104,0,1.820334104,0,16.36546637,14.85712081,14.07660291,1.194317638,9.080098412,0,0.730463147,0.730463147,0.730463147,0.730463147,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2.055641538,2.885846472,6.314734757,21.32515985,0.730463147,0,0,2.602594469,1.820334104,14.182841,14.182841,9.391827135,1.194317638,1.820334104,1.194317638,1.820334104,0,1.194317638,10.9711294,2.259673787,0,10.2210512,12.51058791,0,0.730463147,12.51058791,12.27136475,0,14.4800295,0.730463147,0,1.194317638,0.730463147,1.820334104,0.730463147,1.194317638,2.750250297,2.259673787,0.730463147,2.055641538,14.182841,1.194317638,1.540962756,11.6277076,2.055641538,2.055641538,1.194317638,8.013883697,6.314734757,0,0,0,0,1.820334104,0,1.540962756,1.194317638,16.46644337,15.85231157,15.3234147,1.68725922,8.831513537,0,0.730463147,0.730463147,0.730463147,0.730463147,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2.259673787,2.750250297,6.337529395,21.2822828,0.730463147,0,0,2.055641538,1.820334104,14.17188418,14.17501803,0,1.540962756,1.820334104,1.194317638,1.820334104,1.540962756,1.194317638,11.26721654,2.259673787,0,5.802738724,11.49382027,0,0.730463147,11.49382027,10.58957442,0,13.01596291,0.730463147,0,0.730463147,0.730463147,0.730463147,0.730463147,1.540962756,2.055641538,2.259673787,0,1.540962756,14.17188418,1.540962756,1.194317638,10.16900713,2.055641538,2.055641538,1.194317638,4.969939052,4.492017743,0,9.178050664,0,0,1.194317638,11.14753825,0.730463147,1.540962756,16.45602278,14.42187933,14.32690563,1.378201796,9.653900779,0,0.730463147,0.730463147,0.730463147,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2.440268378,2.055641538,6.098626105,19.90752887,0.730463147,1.540962756,0,2.602594469,1.820334104,14.18908743,14.19064738,7.944502935,1.194317638,1.820334104,0,1.820334104,0,1.194317638,13.03109262,2.259673787,0,9.155749706,13.65578051,0,0.730463147,13.67020726,0,0,13.67020726,0.730463147,0,1.194317638,0,1.540962756,0.730463147,1.194317638,2.440268378,2.259673787,0.730463147,1.194317638,14.18908743,1.194317638,1.194317638,10.89354133,2.055641538,2.055641538,1.194317638,8.6493114,5.591427125,0,0,0,0,1.820334104,0,2.885846472,0.730463147,16.47424139,15.88951151,15.5588597,1.540962756,9.118180874,0,0,0.730463147,0.730463147,0.730463147,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2.602594469,2.885846472,6.221213633,20.02386157,0.730463147,0,0,2.440268378,2.055641538,14.14039782,14.14039782,8.51121971,1.540962756,1.820334104,1.194317638,1.820334104,1.194317638,0,11.70224851,0.730463147,4.597156712,8.274265741,12.41383131,0,0.730463147,12.41383131,12.07714905,0,14.32088827,0.730463147,0,1.194317638,0.730463147,1.540962756,0.730463147,1.540962756,2.440268378,2.259673787,1.194317638,2.055641538,14.14039782,1.194317638,1.194317638,10.18993413,2.055641538,2.055641538,1.194317638,8.463563732,8.147315589,8.395382582,0,0,0,1.820334104,9.391827135,1.194317638,1.540962756,16.41933964,15.70202122,15.46860655,1.68725922,11.01915373,0,0.730463147,0.730463147,0.730463147,0.730463147,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2.750250297,2.750250297,5.392276337,17.98987134,0.730463147,1.540962756,0,2.440268378,1.820334104,14.07338382,14.10385151,0,1.540962756,1.820334104,1.820334104,1.820334104,1.540962756,2.259673787,0,2.259673787,0,11.98736356,11.98736356,1.194317638,0.730463147,12.18675088,11.33977869,0,13.81137841,0,0,1.194317638,0,1.194317638,1.194317638,1.540962756,2.602594469,1.194317638,1.194317638,2.055641538,14.07338382,1.540962756,1.194317638,10.10532614,0.730463147,2.055641538,1.194317638,6.448232316,0,8.158132683,0,0,0,1.820334104,0,2.259673787,1.194317638,16.36190864,15.17377978,13.81137841,1.194317638,8.986510387,0,0.730463147,0.730463147,0.730463147,0.730463147,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2.885846472,1.820334104,5.357203202,18.71254371,0.730463147,1.540962756,0,2.055641538,2.055641538,14.08624323,14.10385151,0,1.540962756,1.820334104,1.820334104,1.820334104,1.540962756,1.194317638,11.67651555,2.259673787,0,7.33860727,12.09992877,0,0.730463147,12.3354314,0,0,12.3354314,0.730463147,0,0.730463147,0,1.194317638,1.194317638,1.540962756,2.055641538,2.259673787,1.194317638,2.055641538,14.08624323,1.194317638,0.730463147,8.158132683,1.194317638,2.055641538,1.194317638,0,1.820334104,0,0,0,0,1.820334104,0,0,1.194317638,16.36902098,14.28761679,14.06854987,1.194317638,1.820334104,0,0,0.730463147,0.730463147,0.730463147,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
